T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
149,423788,New Zealand Vs Australia 2Nd T20I,423776,Australia tour of New Zealand  - 2010 (2009/10),2010-02-28,T20,5,New Zealand,4380,214.0,6.0,18.0,2,Australia,8876,214.0,4.0,6.0,AMI Stadium,Christchurch,New Zealand,CB Gaffaney,AL Hill,RS Madugalle,New Zealand,bat,,Match tied (New Zealand won the one-over eliminator),10384.0,"['10384', '44820', '48927', '44930', '9639', '9710', '9989', '10386', '4380', '10280', '49108']","['48739', '6426', '8876', '11984', '12049', '12036', '50281', '44853', '12601', '17780', '47695']",[]
22,287855,Pakistan Vs Scotland 3Rd Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,7,Pakistan,8270,171.0,9.0,6.0,30,Scotland,45548,120.0,10.0,13.0,Kingsmead,Durban,South Africa,SJA Taufel,SJ Davis,MJ Procter,Scotland,bowl,Pakistan,Pakistan won by 51 runs,4169.0,"['11647', '8177', '19647', '10439', '8270', '4169', '19596', '9257', '10394', '44908', '19627']","['8225', '45548', '46142', '4334', '44588', '4228', '8221', '46091', '7236', '4968', '47873']","['8221', '8221', '7236', '7236', '47873', '4228', '8225', '8225', '4334', '4968', '4968', '46091', '46091', '46142', '44588', '44588', '45548', '45548']"
104,356005,Pakistan Vs Sri Lanka 15Th Match Group F,335113,ICC World Twenty20 in England - 2009 (2009),2009-06-12,T20,8,Sri Lanka,9587,150.0,7.0,20.0,7,Pakistan,10439,131.0,9.0,3.0,Lord's,London,England,MR Benson,RE Koertzen,BC Broad,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 19 runs,7419.0,"['7419', '1988', '9587', '6315', '8197', '8203', '47023', '46206', '45105', '50377', '2041']","['11647', '9257', '8270', '10439', '19596', '4169', '47099', '48128', '44908', '51498', '19930']",[]
23,287856,Australia Vs Zimbabwe 4Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,2,Australia,2230,138.0,9.0,7.0,9,Zimbabwe,45326,139.0,5.0,7.0,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,Australia,bat,Zimbabwe,Zimbabwe won by 5 wickets (with 1 ball remaining),45253.0,"['4176', '2119', '2230', '4382', '6256', '6253', '6426', '5966', '10130', '7445', '6973']","['45240', '45253', '47619', '10421', '10639', '10423', '45252', '21364', '45326', '4177', '45215']","['6253', '10130', '10421', '10421', '45215', '45215', '45240']"
24,287857,Bangladesh Vs West Indies 5Th Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,4,West Indies,6405,164.0,8.0,10.0,25,Bangladesh,24667,165.0,4.0,13.0,New Wanderers Stadium,Johannesburg,South Africa,MR Benson,NJ Llong,BC Broad,Bangladesh,bowl,Bangladesh,Bangladesh won by 6 wickets (with 12 balls remaining),24667.0,"['7568', '10494', '2120', '10238', '6405', '47111', '45554', '45257', '17837', '45258', '45774']","['48391', '45156', '45558', '24667', '48277', '35501', '48384', '47986', '24672', '45573', '45159']",[]
25,287858,England Vs Zimbabwe 6Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,1,England,2314,188.0,9.0,4.0,9,Zimbabwe,45326,138.0,7.0,5.0,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,England,bat,England,England won by 50 runs,8107.0,"['4528', '11120', '44660', '8107', '2314', '4271', '6377', '6769', '7184', '48440', '10829']","['45240', '45253', '10421', '47619', '10639', '45252', '10423', '45326', '21364', '4177', '45215']","['7184', '4528', '44660']"
26,287859,India Vs Scotland 7Th Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,6,India,7593,,,,30,Scotland,45548,,,,Kingsmead,Durban,South Africa,SJA Taufel,SJ Davis,MJ Procter,Scotland,bowl,,No result (abandoned with a toss),,"['7781', '8742', '7773', '7716', '7593', '8813', '7139', '11399', '47123', '7129', '12020']","['8225', '45548', '46142', '4334', '44588', '4228', '8221', '46091', '7236', '4968', '47873']","['7773', '8742', '47123', '7716']"
27,287860,Kenya Vs Sri Lanka 8Th Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,8,Sri Lanka,6315,260.0,6.0,12.0,26,Kenya,2265,88.0,9.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,NJ Llong,BC Broad,Kenya,bowl,Sri Lanka,Sri Lanka won by 172 runs,1988.0,"['11334', '1988', '9587', '6315', '8197', '7419', '8203', '15522', '11271', '45105', '2166']","['10364', '36623', '49383', '48189', '2265', '21463', '51509', '8207', '2278', '9228', '2268']","['15522', '8203']"
28,287861,Australia Vs England 9Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,1,England,2314,135.0,10.0,3.0,2,Australia,2230,136.0,2.0,2.0,Newlands,Cape Town,South Africa,Asad Rauf,IL Howell,RS Madugalle,England,bat,Australia,Australia won by 8 wickets (with 31 balls remaining),7445.0,"['4528', '11120', '44660', '8107', '2314', '4271', '6377', '6769', '7184', '48440', '6263']","['4176', '2119', '2230', '4382', '6256', '6253', '8876', '5966', '10130', '7445', '6973']",['6263']
29,287862,India Vs Pakistan 10Th Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,6,India,7593,141.0,9.0,5.0,7,Pakistan,8270,141.0,7.0,8.0,Kingsmead,Durban,South Africa,BR Doctrove,SJA Taufel,MJ Procter,Pakistan,bowl,,Match tied,19627.0,"['7773', '7781', '8742', '7716', '8813', '7593', '11399', '7139', '7129', '12020', '47123']","['11647', '8177', '9257', '10439', '8270', '19596', '4169', '10394', '19627', '44908', '48128']",['48128']
